Title,Handle,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Status,Collection
Boondhi Ladoo,boondhi-ladoo,"<p>Golden boondi ladoos made with chickpea flour, sugar syrup, and cardamom. Each ladoo is handcrafted for the perfect round shape and taste.</p><ul><li>Handcrafted with love</li><li>Premium cardamom flavor</li><li>Perfect for festivals</li></ul>",House of Kumaran,Food & Beverages > Food Items > Confectionery,Sweet,"sweet, ladoo, boondi, traditional, festival, cardamom, handcrafted",TRUE,Weight,250g,,,,,HOK-SWEET-002,250,shopify,50,deny,manual,249,280,TRUE,TRUE,,https://images.unsplash.com/photo-1606312619070-d48b4c652a52?w=800,1,Boondi Ladoo - Traditional Festival Sweet,FALSE,Boondi Ladoo | Handcrafted Festival Sweet | House of Kumaran,Golden Boondi Ladoo handcrafted with chickpea flour and cardamom. Perfect for festivals and celebrations. Traditional recipe.,Food Beverages & Tobacco > Food Items > Confectionery,Unisex,Adult,HOK-SWEET-002,new,active,Sweets
Athirasam,athirasam,<p>Traditional Tamil Nadu sweet made with rice flour and jaggery. Deep-fried to golden perfection. A festival favorite that brings back nostalgic memories.</p><ul><li>Made with organic jaggery</li><li>Traditional Tamil recipe</li><li>Perfect festival sweet</li></ul>,House of Kumaran,Food & Beverages > Food Items > Confectionery,Sweet,"sweet, athirasam, traditional, new-arrival, jaggery, tamil-nadu, festival, diwali",TRUE,Weight,250g,,,,,HOK-SWEET-003,300,shopify,50,deny,manual,279,320,TRUE,TRUE,,https://images.unsplash.com/photo-1606312619070-d48b4c652a52?w=800,1,Athirasam - Traditional Jaggery Sweet,FALSE,Athirasam | Traditional Tamil Nadu Sweet | House of Kumaran,Authentic Athirasam made with organic jaggery and rice flour. Traditional Tamil Nadu festival sweet recipe.,Food Beverages & Tobacco > Food Items > Confectionery,Unisex,Adult,HOK-SWEET-003,new,active,Sweets
Badhusha,badhusha,"<p>Flaky, syrup-soaked Badusha that melts in your mouth. Made with refined flour, ghee, and sugar syrup infused with cardamom.</p><ul><li>Flaky layered texture</li><li>Soaked in cardamom syrup</li><li>Made with pure ghee</li></ul>",House of Kumaran,Food & Beverages > Food Items > Confectionery,Sweet,"sweet, badusha, traditional, ghee, cardamom, syrup, flaky",TRUE,Weight,250g,,,,,HOK-SWEET-004,250,shopify,50,deny,manual,269,300,TRUE,TRUE,,https://images.unsplash.com/photo-1606312619070-d48b4c652a52?w=800,1,Badusha - Flaky Syrup Sweet,FALSE,Badusha | Flaky Traditional Sweet | House of Kumaran,Flaky Badusha soaked in cardamom sugar syrup. Made with pure ghee for authentic taste. Traditional South Indian sweet.,Food Beverages & Tobacco > Food Items > Confectionery,Unisex,Adult,HOK-SWEET-004,new,active,Sweets
Rava Ladoo,rava-ladoo,"<p>Melt-in-mouth Rava Ladoo made with roasted semolina, ghee, sugar, and cashews. Each ladoo is handcrafted with the perfect sweetness and texture.</p><ul><li>Made with roasted semolina</li><li>Enriched with cashews</li><li>Melt-in-mouth texture</li></ul>",House of Kumaran,Food & Beverages > Food Items > Confectionery,Sweet,"sweet, ladoo, rava, semolina, traditional, ghee, cashew, festival",TRUE,Weight,250g,,,,,HOK-SWEET-005,250,shopify,50,deny,manual,259,290,TRUE,TRUE,,https://images.unsplash.com/photo-1606312619070-d48b4c652a52?w=800,1,Rava Ladoo - Semolina Sweet Balls,FALSE,Rava Ladoo | Semolina Sweet Balls | House of Kumaran,Melt-in-mouth Rava Ladoo with roasted semolina and cashews. Handcrafted with pure ghee. Festival favorite.,Food Beverages & Tobacco > Food Items > Confectionery,Unisex,Adult,HOK-SWEET-005,new,active,Sweets
Maa Ladoo,maa-ladoo,"<p>Nutritious Maa Ladoo made with roasted gram flour, jaggery, and ghee. Also known as Besan Ladoo, this sweet is both healthy and delicious.</p><ul><li>Made with roasted gram flour</li><li>Sweetened with jaggery</li><li>Nutritious and healthy</li></ul>",House of Kumaran,Food & Beverages > Food Items > Confectionery,Sweet,"sweet, ladoo, maa-ladoo, besan, gram-flour, jaggery, traditional, healthy",TRUE,Weight,250g,,,,,HOK-SWEET-006,250,shopify,50,deny,manual,249,280,TRUE,TRUE,,https://images.unsplash.com/photo-1606312619070-d48b4c652a52?w=800,1,Maa Ladoo - Gram Flour Sweet Balls,FALSE,Maa Ladoo | Gram Flour Sweet Balls | House of Kumaran,Nutritious Maa Ladoo with roasted gram flour and jaggery. Healthy traditional sweet.,Food Beverages & Tobacco > Food Items > Confectionery,Unisex,Adult,HOK-SWEET-006,new,active,Sweets
Somazi,somazi,<p>Traditional Somazi - delicate wheat flour sweets shaped like small moons. Deep-fried and soaked in sugar syrup for that perfect sweetness.</p><ul><li>Delicate moon-shaped sweets</li><li>Made with wheat flour</li><li>Soaked in sugar syrup</li></ul>,House of Kumaran,Food & Beverages > Food Items > Confectionery,Sweet,"sweet, somazi, traditional, wheat-flour, syrup, festival, moon-shaped",TRUE,Weight,250g,,,,,HOK-SWEET-007,250,shopify,50,deny,manual,239,270,TRUE,TRUE,,https://images.unsplash.com/photo-1606312619070-d48b4c652a52?w=800,1,Somazi - Traditional Moon-Shaped Sweets,FALSE,Somazi | Traditional Moon-Shaped Sweets | House of Kumaran,Delicate Somazi moon-shaped sweets soaked in sugar syrup. Traditional festival sweet.,Food Beverages & Tobacco > Food Items > Confectionery,Unisex,Adult,HOK-SWEET-007,new,active,Sweets
Mullu Murukku,mullu-murukku,"<p>Crispy, spiky murukku made with rice flour and urad dal. The perfect tea-time snack with that signature crunch. A South Indian household staple.</p><ul><li>Extra crispy texture</li><li>Made with rice flour blend</li><li>Perfect tea-time snack</li></ul>",House of Kumaran,Food & Beverages > Food Items > Snacks,Savoury,"savoury, murukku, traditional, bestseller, crispy, tea-time, south-indian, snack",TRUE,Weight,250g,,,,,HOK-SAVOURY-001,250,shopify,100,deny,manual,180,200,TRUE,TRUE,,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=800,1,Mullu Murukku - Crispy South Indian Snack,FALSE,Mullu Murukku | Crispy Traditional Snack | House of Kumaran,Extra crispy Mullu Murukku made with rice flour and urad dal. Traditional South Indian tea-time snack.,Food Beverages & Tobacco > Food Items > Snacks,Unisex,Adult,HOK-SAVOURY-001,new,active,Savouries
Thenkuzhal,thenkuzhal,"<p>Smooth, ring-shaped murukku with a delicate crunch. Made with the same traditional recipe passed down through generations.</p><ul><li>Smooth ring shape</li><li>Delicate crunch</li><li>Traditional recipe</li></ul>",House of Kumaran,Food & Beverages > Food Items > Snacks,Savoury,"savoury, thenkuzhal, murukku, traditional, crispy, south-indian, snack",TRUE,Weight,250g,,,,,HOK-SAVOURY-002,250,shopify,100,deny,manual,170,190,TRUE,TRUE,,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=800,1,Thenkuzhal - Traditional Ring Murukku,FALSE,Thenkuzhal | Traditional Ring Murukku | House of Kumaran,Smooth ring-shaped Thenkuzhal with delicate crunch. Traditional South Indian snack made with family recipe.,Food Beverages & Tobacco > Food Items > Snacks,Unisex,Adult,HOK-SAVOURY-002,new,active,Savouries
Ribbon Pakoda,ribbon-pakoda,"<p>Thin, ribbon-shaped crispy snack made with chickpea flour and rice flour. Seasoned with cumin and pepper for that extra flavor kick.</p><ul><li>Thin crispy ribbons</li><li>Cumin and pepper seasoned</li><li>Light and crunchy</li></ul>",House of Kumaran,Food & Beverages > Food Items > Snacks,Savoury,"savoury, pakoda, ribbon, traditional, crispy, spicy, snack, tea-time",TRUE,Weight,250g,,,,,HOK-SAVOURY-003,200,shopify,100,deny,manual,160,180,TRUE,TRUE,,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=800,1,Ribbon Pakoda - Crispy Ribbon Snack,FALSE,Ribbon Pakoda | Crispy Traditional Snack | House of Kumaran,Thin crispy Ribbon Pakoda seasoned with cumin and pepper. Light and crunchy South Indian snack.,Food Beverages & Tobacco > Food Items > Snacks,Unisex,Adult,HOK-SAVOURY-003,new,active,Savouries
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thattai,thattai,"<p>Crispy, flat rice crackers with a perfect crunch. These traditional thattais are seasoned with cumin and sesame for an irresistible savory taste.</p><ul><li>Crispy flat crackers</li><li>Seasoned with cumin and sesame</li><li>Perfect tea-time snack</li></ul>",House of Kumaran,Food & Beverages > Food Items > Snacks,Savoury,"savoury, thattai, crispy, traditional, rice-cracker, cumin, sesame, tea-time",TRUE,Weight,250g,,,,,HOK-SAVOURY-005,200,shopify,100,deny,manual,160,180,TRUE,TRUE,,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=800,1,Thattai - Crispy Rice Crackers,FALSE,Thattai | Crispy Rice Crackers | House of Kumaran,Crispy Thattai rice crackers with cumin and sesame. Traditional South Indian tea-time snack.,Food Beverages & Tobacco > Food Items > Snacks,Unisex,Adult,HOK-SAVOURY-005,new,active,Savouries
Kara Boondi,kara-boondi,"<p>Spicy chickpea flour droplets with a perfect crunch. Our Kara Boondi is seasoned with curry leaves, green chilies, and asafoetida for that authentic flavor.</p><ul><li>Spicy chickpea droplets</li><li>Seasoned with curry leaves</li><li>Perfect crunch</li></ul>",House of Kumaran,Food & Beverages > Food Items > Snacks,Savoury,"savoury, kara-boondi, spicy, chickpea, traditional, crispy, tea-time, snack",TRUE,Weight,250g,,,,,HOK-SAVOURY-006,200,shopify,100,deny,manual,150,170,TRUE,TRUE,,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=800,1,Kara Boondi - Spicy Chickpea Droplets,FALSE,Kara Boondi | Spicy Chickpea Droplets | House of Kumaran,Spicy Kara Boondi with curry leaves and authentic seasoning. Crispy South Indian snack.,Food Beverages & Tobacco > Food Items > Snacks,Unisex,Adult,HOK-SAVOURY-006,new,active,Savouries
Omapodi,omapodi,"<p>Thin, crispy chickpea noodles flavored with ajwain (omam). These delicate strands have a distinctive aroma and are perfect for snacking or as a mixture ingredient.</p><ul><li>Thin crispy noodles</li><li>Ajwain flavored</li><li>Digestive properties</li></ul>",House of Kumaran,Food & Beverages > Food Items > Snacks,Savoury,"savoury, omapodi, sev, ajwain, traditional, crispy, thin, snack",TRUE,Weight,250g,,,,,HOK-SAVOURY-007,200,shopify,100,deny,manual,140,160,TRUE,TRUE,,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=800,1,Omapodi - Ajwain Flavored Sev,FALSE,Omapodi | Ajwain Flavored Crispy Sev | House of Kumaran,Thin crispy Omapodi with ajwain flavor. Digestive properties. Perfect snack or mixture ingredient.,Food Beverages & Tobacco > Food Items > Snacks,Unisex,Adult,HOK-SAVOURY-007,new,active,Savouries
Kumaran's Mystic Mix,kumarans-mystic-mix,"<p>Kumaran's Mystic Mix is our unique take on the classic Madras mixture — a crunchy, flavour-rich blend inspired by the bustling streets and heritage kitchens of Chennai. Crafted with premium ingredients and a traditional hand-roasted method, this mix brings together crispy lentils, sev, boondi and aromatic spices in a way that feels familiar yet excitingly new.</p><p>Every handful gives a warm South Indian flavour with a gentle kick, making it perfect for tea time, travel snacking, or anytime cravings.</p><h4>Direction of Use</h4><ul><li>Enjoy straight from the pack</li><li>Pair it with your evening tea/coffee</li><li>Sprinkle it over curd rice for an instant flavour upgrade</li><li>Use it as a topping on chaats and salads for extra crunch</li></ul>",House of Kumaran,Food & Beverages > Food Items > Snacks,Savoury,"savoury, mystic-mix, madras-mixture, premium, signature, hand-roasted, chennai, tea-time, bestseller, hero-product",TRUE,Weight,250g,,,,,HOK-SAVOURY-008,250,shopify,100,deny,manual,169,349,TRUE,TRUE,,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=800,1,Kumaran's Mystic Mix - Premium Madras Mixture,FALSE,Kumaran's Mystic Mix | Premium Madras Mixture | House of Kumaran,Kumaran's Mystic Mix - our unique take on classic Madras mixture. Hand-roasted with premium ingredients. Perfect for tea time and anytime cravings.,Food Beverages & Tobacco > Food Items > Snacks,Unisex,Adult,HOK-SAVOURY-008,new,active,Savouries
Kumaran's Butter Coils,kumarans-butter-coils,"<p>Kumaran's Butter Coils reimagine the beloved South Indian butter murukku in a soft, melt-in-the-mouth form. Made using a traditional coil-shaping technique and slow frying, these buttery spirals carry a rich aroma, gentle crunch, and a comforting flavour that originated from Tamil household kitchens, where murukku has been a festive essential for generations.</p><p>Each piece is light, mildly salty, and perfectly balanced — ideal for all ages.</p><h4>Direction of Use</h4><ul><li>Open and enjoy as a snack anytime</li><li>Serve with tea/coffee</li><li>Pack it for kids' tiffin</li><li>Crumble lightly over upma/curd rice to add a delicious buttery texture</li></ul>",House of Kumaran,Food & Beverages > Food Items > Snacks,Savoury,"savoury, butter-coils, butter-murukku, premium, signature, melt-in-mouth, festive, kids-favorite, hero-product",TRUE,Weight,250g,,,,,HOK-SAVOURY-009,250,shopify,100,deny,manual,179,399,TRUE,TRUE,,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=800,1,Kumaran's Butter Coils - Premium Butter Murukku,FALSE,Kumaran's Butter Coils | Premium Butter Murukku | House of Kumaran,Kumaran's Butter Coils - soft melt-in-mouth butter murukku. Traditional coil-shaping technique. Perfect for all ages.,Food Beverages & Tobacco > Food Items > Snacks,Unisex,Adult,HOK-SAVOURY-009,new,active,Savouries
Elai Vadam - Jeera,elai-vadam-jeera,"<p>Traditional sun-dried rice crisps flavored with cumin. Light, airy, and perfect for frying. A nostalgic snack from grandmother's kitchen.</p><ul><li>Sun-dried for 3 days</li><li>Cumin flavored</li><li>Fry and enjoy</li></ul>",House of Kumaran,Food & Beverages > Food Items > Snacks,Vadam,"vadam, elai-vadam, jeera, cumin, traditional, sun-dried, crispy, snack",TRUE,Weight,250g,,,,,HOK-VADAM-001,150,shopify,100,deny,manual,120,140,TRUE,TRUE,,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=800,1,Elai Vadam Jeera - Sun-Dried Rice Crisps,FALSE,Elai Vadam Jeera | Sun-Dried Rice Crisps | House of Kumaran,Traditional sun-dried Elai Vadam with cumin flavor. Light and crispy. Fry and enjoy this nostalgic snack.,Food Beverages & Tobacco > Food Items > Snacks,Unisex,Adult,HOK-VADAM-001,new,active,Vadams & Appalam
Ulundu Appalam,ulundu-appalam,<p>Crispy urad dal papads made the traditional way. Perfect accompaniment for rice and sambar. Expands beautifully when fried or roasted.</p><ul><li>Made with premium urad dal</li><li>Traditional recipe</li><li>Fry or roast</li></ul>,House of Kumaran,Food & Beverages > Food Items > Snacks,Vadam,"vadam, appalam, papad, urad-dal, traditional, crispy, south-indian",TRUE,Weight,250g,,,,,HOK-VADAM-002,200,shopify,100,deny,manual,130,150,TRUE,TRUE,,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=800,1,Ulundu Appalam - Urad Dal Papad,FALSE,Ulundu Appalam | Traditional Urad Dal Papad | House of Kumaran,Crispy Ulundu Appalam made with premium urad dal. Traditional South Indian papad. Fry or roast to enjoy.,Food Beverages & Tobacco > Food Items > Snacks,Unisex,Adult,HOK-VADAM-002,new,active,Vadams & Appalam
Elai Vadam - Red Chilli,elai-vadam-red-chilli,<p>Spicy sun-dried rice crisps with a fiery red chilli kick. These traditional vadams are hand-shaped on banana leaves and sun-dried for that authentic taste.</p><ul><li>Sun-dried on banana leaves</li><li>Spicy red chilli flavor</li><li>Traditional preparation</li></ul>,House of Kumaran,Food & Beverages > Food Items > Snacks,Vadam,"vadam, elai-vadam, red-chilli, spicy, traditional, sun-dried, crispy",TRUE,Weight,250g,,,,,HOK-VADAM-003,150,shopify,100,deny,manual,120,140,TRUE,TRUE,,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=800,1,Elai Vadam Red Chilli - Spicy Sun-Dried Crisps,FALSE,Elai Vadam Red Chilli | Spicy Sun-Dried Rice Crisps | House of Kumaran,Spicy sun-dried Elai Vadam with red chilli flavor. Traditional banana leaf preparation. Fry and enjoy.,Food Beverages & Tobacco > Food Items > Snacks,Unisex,Adult,HOK-VADAM-003,new,active,Vadams & Appalam
Elai Vadam - Green Chilli,elai-vadam-green-chilli,<p>Fresh and zesty sun-dried rice crisps with green chilli flavor. A refreshing twist on the classic vadam with a moderate heat level.</p><ul><li>Fresh green chilli flavor</li><li>Sun-dried for perfect texture</li><li>Moderate spice level</li></ul>,House of Kumaran,Food & Beverages > Food Items > Snacks,Vadam,"vadam, elai-vadam, green-chilli, spicy, traditional, sun-dried, crispy",TRUE,Weight,250g,,,,,HOK-VADAM-004,150,shopify,100,deny,manual,120,140,TRUE,TRUE,,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=800,1,Elai Vadam Green Chilli - Fresh Sun-Dried Crisps,FALSE,Elai Vadam Green Chilli | Fresh Sun-Dried Rice Crisps | House of Kumaran,Fresh and zesty Elai Vadam with green chilli flavor. Sun-dried traditional snack. Fry and enjoy.,Food Beverages & Tobacco > Food Items > Snacks,Unisex,Adult,HOK-VADAM-004,new,active,Vadams & Appalam
Elai Vadam - Pudhina,elai-vadam-pudhina,"<p>Refreshing mint-flavored sun-dried rice crisps. The cooling mint adds a unique twist to this traditional snack, perfect for summer.</p><ul><li>Fresh mint flavor</li><li>Cooling and refreshing</li><li>Traditional sun-dried method</li></ul>",House of Kumaran,Food & Beverages > Food Items > Snacks,Vadam,"vadam, elai-vadam, pudhina, mint, refreshing, traditional, sun-dried, summer",TRUE,Weight,250g,,,,,HOK-VADAM-005,150,shopify,100,deny,manual,130,150,TRUE,TRUE,,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=800,1,Elai Vadam Pudhina - Mint Sun-Dried Crisps,FALSE,Elai Vadam Pudhina | Mint Sun-Dried Rice Crisps | House of Kumaran,Refreshing mint-flavored Elai Vadam. Cooling and perfect for summer. Traditional sun-dried preparation.,Food Beverages & Tobacco > Food Items > Snacks,Unisex,Adult,HOK-VADAM-005,new,active,Vadams & Appalam
Elai Vadam - Omam,elai-vadam-omam,<p>Aromatic ajwain-flavored sun-dried rice crisps. Omam (carom seeds) adds digestive benefits and a distinctive flavor to these traditional vadams.</p><ul><li>Ajwain (omam) flavored</li><li>Aids digestion</li><li>Aromatic and flavorful</li></ul>,House of Kumaran,Food & Beverages > Food Items > Snacks,Vadam,"vadam, elai-vadam, omam, ajwain, digestive, traditional, sun-dried, aromatic",TRUE,Weight,250g,,,,,HOK-VADAM-006,150,shopify,100,deny,manual,120,140,TRUE,TRUE,,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=800,1,Elai Vadam Omam - Ajwain Sun-Dried Crisps,FALSE,Elai Vadam Omam | Ajwain Sun-Dried Rice Crisps | House of Kumaran,Aromatic Elai Vadam with omam flavor. Aids digestion. Traditional sun-dried preparation.,Food Beverages & Tobacco > Food Items > Snacks,Unisex,Adult,HOK-VADAM-006,new,active,Vadams & Appalam
Elai Vadam - Onion,elai-vadam-onion,<p>Savory onion-flavored sun-dried rice crisps. Caramelized onion bits add a sweet-savory depth to these crispy vadams.</p><ul><li>Caramelized onion flavor</li><li>Sweet-savory taste</li><li>Extra crispy texture</li></ul>,House of Kumaran,Food & Beverages > Food Items > Snacks,Vadam,"vadam, elai-vadam, onion, savory, traditional, sun-dried, crispy",TRUE,Weight,250g,,,,,HOK-VADAM-007,150,shopify,100,deny,manual,130,150,TRUE,TRUE,,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=800,1,Elai Vadam Onion - Savory Sun-Dried Crisps,FALSE,Elai Vadam Onion | Savory Sun-Dried Rice Crisps | House of Kumaran,Savory Elai Vadam with caramelized onion flavor. Sweet-savory taste. Traditional sun-dried preparation.,Food Beverages & Tobacco > Food Items > Snacks,Unisex,Adult,HOK-VADAM-007,new,active,Vadams & Appalam
Elai Vadam - Tomato,elai-vadam-tomato,<p>Tangy tomato-flavored sun-dried rice crisps. Sun-ripened tomatoes give these vadams a delightful tangy-sweet flavor.</p><ul><li>Tangy tomato flavor</li><li>Sun-ripened tomatoes</li><li>Delightful sweet-tangy taste</li></ul>,House of Kumaran,Food & Beverages > Food Items > Snacks,Vadam,"vadam, elai-vadam, tomato, tangy, traditional, sun-dried, crispy",TRUE,Weight,250g,,,,,HOK-VADAM-008,150,shopify,100,deny,manual,130,150,TRUE,TRUE,,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=800,1,Elai Vadam Tomato - Tangy Sun-Dried Crisps,FALSE,Elai Vadam Tomato | Tangy Sun-Dried Rice Crisps | House of Kumaran,Tangy Elai Vadam with sun-ripened tomato flavor. Sweet-tangy taste. Traditional sun-dried preparation.,Food Beverages & Tobacco > Food Items > Snacks,Unisex,Adult,HOK-VADAM-008,new,active,Vadams & Appalam
Elai Vadam - Garlic,elai-vadam-garlic,"<p>Bold garlic-flavored sun-dried rice crisps. Roasted garlic adds a pungent, savory depth that garlic lovers will adore.</p><ul><li>Bold roasted garlic flavor</li><li>Pungent and savory</li><li>Immunity boosting</li></ul>",House of Kumaran,Food & Beverages > Food Items > Snacks,Vadam,"vadam, elai-vadam, garlic, pungent, traditional, sun-dried, immunity",TRUE,Weight,250g,,,,,HOK-VADAM-009,150,shopify,100,deny,manual,130,150,TRUE,TRUE,,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=800,1,Elai Vadam Garlic - Bold Sun-Dried Crisps,FALSE,Elai Vadam Garlic | Bold Sun-Dried Rice Crisps | House of Kumaran,Bold Elai Vadam with roasted garlic flavor. Pungent and savory. Traditional sun-dried preparation.,Food Beverages & Tobacco > Food Items > Snacks,Unisex,Adult,HOK-VADAM-009,new,active,Vadams & Appalam
Elai Vadam - Perandai,elai-vadam-perandai,"<p>Unique medicinal vadam made with Perandai (Veldt Grape). Known for its bone-strengthening properties, this traditional vadam is both healthy and delicious.</p><ul><li>Made with Perandai (Veldt Grape)</li><li>Bone-strengthening properties</li><li>Traditional medicinal snack</li></ul>",House of Kumaran,Food & Beverages > Food Items > Snacks,Vadam,"vadam, elai-vadam, perandai, medicinal, healthy, bone-health, traditional, sun-dried",TRUE,Weight,250g,,,,,HOK-VADAM-010,150,shopify,100,deny,manual,150,180,TRUE,TRUE,,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=800,1,Elai Vadam Perandai - Medicinal Sun-Dried Crisps,FALSE,Elai Vadam Perandai | Medicinal Sun-Dried Rice Crisps | House of Kumaran,Healthy Elai Vadam with Perandai. Bone-strengthening properties. Traditional medicinal preparation.,Food Beverages & Tobacco > Food Items > Snacks,Unisex,Adult,HOK-VADAM-010,new,active,Vadams & Appalam
Rice Vadam,rice-vadam,"<p>Classic rice vadams available in Omapodi, Katta, and Ribbon varieties. Sun-dried to perfection, these expand into crispy delights when fried.</p><ul><li>Available in multiple shapes</li><li>Sun-dried for 3-4 days</li><li>Expands beautifully when fried</li></ul>",House of Kumaran,Food & Beverages > Food Items > Snacks,Vadam,"vadam, rice-vadam, omapodi, katta, ribbon, traditional, sun-dried, crispy",TRUE,Weight,250g,,,,,HOK-VADAM-011,200,shopify,100,deny,manual,110,130,TRUE,TRUE,,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=800,1,Rice Vadam - Traditional Sun-Dried Crisps,FALSE,Rice Vadam | Traditional Sun-Dried Rice Crisps | House of Kumaran,Classic Rice Vadam in multiple shapes. Sun-dried to perfection. Fry for crispy delights.,Food Beverages & Tobacco > Food Items > Snacks,Unisex,Adult,HOK-VADAM-011,new,active,Vadams & Appalam
Jawarisi Vadam,jawarisi-vadam,<p>Sago (tapioca pearl) vadams that puff up beautifully when fried. These translucent vadams have a unique chewy-crispy texture.</p><ul><li>Made with premium sago pearls</li><li>Puffs up when fried</li><li>Unique chewy-crispy texture</li></ul>,House of Kumaran,Food & Beverages > Food Items > Snacks,Vadam,"vadam, jawarisi, sago, tapioca, traditional, sun-dried, crispy, puffed",TRUE,Weight,250g,,,,,HOK-VADAM-012,150,shopify,100,deny,manual,120,140,TRUE,TRUE,,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=800,1,Jawarisi Vadam - Sago Sun-Dried Crisps,FALSE,Jawarisi Vadam | Sago Sun-Dried Crisps | House of Kumaran,Premium Jawarisi Vadam made with sago pearls. Puffs up beautifully. Unique chewy-crispy texture.,Food Beverages & Tobacco > Food Items > Snacks,Unisex,Adult,HOK-VADAM-012,new,active,Vadams & Appalam
Kuzhambu Vadam,kuzhambu-vadam,<p>Special vadams designed to enhance sambar and kuzhambu. These add extra flavor and texture when added to curries during cooking.</p><ul><li>Perfect for sambar and kuzhambu</li><li>Adds flavor and texture</li><li>Cook directly in curry</li></ul>,House of Kumaran,Food & Beverages > Food Items > Snacks,Vadam,"vadam, kuzhambu-vadam, sambar-vadam, curry, traditional, sun-dried, cooking",TRUE,Weight,250g,,,,,HOK-VADAM-013,150,shopify,100,deny,manual,100,120,TRUE,TRUE,,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=800,1,Kuzhambu Vadam - Curry Enhancement Vadam,FALSE,Kuzhambu Vadam | Sambar Curry Vadam | House of Kumaran,Special Kuzhambu Vadam for sambar and curries. Adds flavor and texture. Traditional preparation.,Food Beverages & Tobacco > Food Items > Snacks,Unisex,Adult,HOK-VADAM-013,new,active,Vadams & Appalam
Onion Vadam,onion-vadam,<p>Savory onion vadams packed with dried onion bits. These have an intense onion flavor that's perfect for snacking or adding to dishes.</p><ul><li>Packed with dried onions</li><li>Intense savory flavor</li><li>Versatile snack</li></ul>,House of Kumaran,Food & Beverages > Food Items > Snacks,Vadam,"vadam, onion-vadam, savory, traditional, sun-dried, crispy, snack",TRUE,Weight,250g,,,,,HOK-VADAM-014,150,shopify,100,deny,manual,110,130,TRUE,TRUE,,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=800,1,Onion Vadam - Savory Onion Crisps,FALSE,Onion Vadam | Savory Sun-Dried Onion Crisps | House of Kumaran,Savory Onion Vadam packed with dried onion bits. Intense flavor. Traditional sun-dried preparation.,Food Beverages & Tobacco > Food Items > Snacks,Unisex,Adult,HOK-VADAM-014,new,active,Vadams & Appalam
Pepper Ulundu Appalam,pepper-ulundu-appalam,<p>Classic urad dal appalam with a generous amount of black pepper. The peppery kick makes these papads extra special.</p><ul><li>Premium urad dal with black pepper</li><li>Spicy peppery flavor</li><li>Extra crunchy when fried</li></ul>,House of Kumaran,Food & Beverages > Food Items > Snacks,Vadam,"vadam, appalam, pepper, urad-dal, spicy, traditional, crispy",TRUE,Weight,250g,,,,,HOK-VADAM-015,200,shopify,100,deny,manual,140,160,TRUE,TRUE,,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=800,1,Pepper Ulundu Appalam - Spicy Papad,FALSE,Pepper Ulundu Appalam | Spicy Urad Dal Papad | House of Kumaran,Spicy Pepper Ulundu Appalam with black pepper kick. Premium urad dal. Extra crunchy when fried.,Food Beverages & Tobacco > Food Items > Snacks,Unisex,Adult,HOK-VADAM-015,new,active,Vadams & Appalam
